Object,Affordance,Question0,Question1,Question2,Question3,Question4,Question5,Question6,Question7,Question8,Question9,Question10,Question11,Question12,Question13,Question14,ExplanatoryQuestion1,ExplanatoryQuestion2,ExplanatoryQuestion3,Answer0,Answer1
bed,lay,"if you were to lie on this bed, which points would you lie on the bed ?",in which areas on the bed should a person lie down to ensure the most comfortable and well-supported rest?,Ideal lay spot on bed?,"Considering the structure of the bed, what area would be most stable for laying?","Considering the structure of the bed, what area would be most stable for laying?","Considering the structure of the bed, what area would be most stable for laying?",What precautions would you take while laying the bed in different scenarios?,What precautions would you take while laying the bed in different scenarios?,laying bed: top choice?,Where to lay bed?,Ideal lay spot on bed?,Which part of the bed allows for the most efficient laying method?,Best bed lay method?,Your preferred lay point on bed?,Could laying the bed be done differently?,"Which part of the bed is crucial for laying, and why is that the case?",Highlight the ideal place for laying on the bed and tell me why it's suitable.,"What's the best area on the bed for laying, and what's the reasoning behind it?","The surface of the bed provides a balanced area for laying or sitting, offering support and comfort.","If you chose to lie on the edge or the frame, you might experience discomfort or fall off, disrupting your rest or sleep."
bed,sit,"if you were to sit on this bed, at which points on the bed would you sit ?",what are the ideal locations on the bed for sitting to ensure both comfort and stability?,What makes the bed easy or hard to sit?,Which part of the bed allows for the most efficient siting method?,Describe your sit method on the bed.,"Considering the structure of the bed, what area would be most stable for siting?",Which part of the bed allows for the most efficient siting method?,What precautions would you take while siting the bed in different scenarios?,How would you approach siting the bed to maintain its condition?,Best bed sit method?,Ideal sit spot on bed?,Which part of the bed allows for the most efficient siting method?,"Considering the structure of the bed, what area would be most stable for siting?",Ideal sit spot on bed?,What precautions would you take while siting the bed in different scenarios?,"Which part of the bed is crucial for siting, and why is that the case?","Where would you sit the bed, and what makes you choose that part?",Highlight the ideal place for siting on the bed and tell me why it's suitable.,"The surface of the bed provides a balanced area for laying or sitting, offering support and comfort.","If you chose to lie on the edge or the frame, you might experience discomfort or fall off, disrupting your rest or sleep."
bed,support,"if you put something on this bed, at which points on the bed would you put it ?",what are the ideal spots on the bed to place an item?,Your preferred support point on bed?,Identify the key points on the bed that ensure a successful supporting experience.,Where to support bed?,Point out the areas on the bed ideal for supporting.,supporting bed: top choice?,What makes the bed easy or hard to support?,How would you approach supporting the bed to maintain its condition?,"If you want to ensure the bed doesn't get damaged, what part would you support?","Considering the structure of the bed, what area would be most stable for supporting?",Could supporting the bed be done differently?,Best bed support method?,Identify the key points on the bed that ensure a successful supporting experience.,Which part of the bed allows for the most efficient supporting method?,Can you show the spot on the bed meant for supporting and explain its importance?,"What's the best area on the bed for supporting, and what's the reasoning behind it?","Where would you support the bed, and what makes you choose that part?","The surface of the bed provides a balanced area for laying or sitting, offering support and comfort.","If you chose to lie on the edge or the frame, you might experience discomfort or fall off, disrupting your rest or sleep."
bag,grasp,"if you want to grab the bag, at which points will your palm position be ?",where should you position your palm on the bag in order to securely and comfortably grasp it?,Point out the areas on the bag ideal for grasping.,"Considering the structure of the bag, what area would be most stable for grasping?","Considering the structure of the bag, what area would be most stable for grasping?",Your preferred grasp point on bag?,"Considering the structure of the bag, what area would be most stable for grasping?",Describe your grasp method on the bag.,How would you approach grasping the bag to maintain its condition?,What precautions would you take while grasping the bag in different scenarios?,How would you approach grasping the bag to maintain its condition?,"Considering the structure of the bag, what area would be most stable for grasping?","If you want to ensure the bag doesn't get damaged, what part would you grasp?","If you want to ensure the bag doesn't get damaged, what part would you grasp?",How would you approach grasping the bag to maintain its condition?,Can you show the spot on the bag meant for grasping and explain its importance?,"Which part of the bag is crucial for grasping, and why is that the case?","Which part of the bag is crucial for grasping, and why is that the case?",The handle or strap of the bag is the intended part for a secure grasp.,"Grasping the bag elsewhere could cause an insecure grip, increasing the risk of dropping it and potentially losing valuables."
bag,lift,"if you want to lift the bag, at which point is your finger most likely to carry the bag ?",where should your fingers be positioned on the bag to ensure a secure and comfortable grip while lifting it?,What precautions would you take while lifting the bag in different scenarios?,Best bag lift method?,Identify the key points on the bag that ensure a successful lifting experience.,Best bag lift method?,"Considering the structure of the bag, what area would be most stable for lifting?",Identify the key points on the bag that ensure a successful lifting experience.,What makes the bag easy or hard to lift?,"Considering the structure of the bag, what area would be most stable for lifting?",Point out the areas on the bag ideal for lifting.,Any tips on lifting the bag efficiently?,Best bag lift method?,lifting bag: top choice?,Could lifting the bag be done differently?,Can you show the spot on the bag meant for lifting and explain its importance?,Highlight the ideal place for lifting on the bag and tell me why it's suitable.,"Which part of the bag is crucial for lifting, and why is that the case?",The design of the bag facilitates lifting in its unique way.,Improper lifting of the bag could lead to inefficiencies or challenges in usage.
bag,contain,"if you package things into the bag, at which points in this bag would you put?",which component serves as the primary storage compartment for holding and containing items?,"If you want to ensure the bag doesn't get damaged, what part would you contain?",Which part of the bag allows for the most efficient containing method?,Which part of the bag allows for the most efficient containing method?,Which part of the bag allows for the most efficient containing method?,Any tips on containing the bag efficiently?,Identify the key points on the bag that ensure a successful containing experience.,What precautions would you take while containing the bag in different scenarios?,Best bag contain method?,containing bag: top choice?,"Considering the structure of the bag, what area would be most stable for containing?",Which part of the bag allows for the most efficient containing method?,Best bag contain method?,"Considering the structure of the bag, what area would be most stable for containing?",Can you show the spot on the bag meant for containing and explain its importance?,Can you show the spot on the bag meant for containing and explain its importance?,Highlight the ideal place for containing on the bag and tell me why it's suitable.,The design of the bag facilitates containing in its unique way.,Improper containing of the bag could lead to inefficiencies or challenges in usage.
bag,open,"if you want to open the bag, from which points of the package would you open it ?",which part of the item provides a secure and convenient closure mechanism for opening and closing its pocket(s)?,"Considering the structure of the bag, what area would be most stable for opening?",Your preferred open point on bag?,Any tips on opening the bag efficiently?,Any tips on opening the bag efficiently?,Best bag open method?,Ideal open spot on bag?,Where to open bag?,How would you approach opening the bag to maintain its condition?,Point out the areas on the bag ideal for opening.,Your preferred open point on bag?,Which part of the bag allows for the most efficient opening method?,"If you want to ensure the bag doesn't get damaged, what part would you open?",Point out the areas on the bag ideal for opening.,"Which part of the bag is crucial for opening, and why is that the case?","Where would you open the bag, and what makes you choose that part?",Highlight the ideal place for opening on the bag and tell me why it's suitable.,The design of the bag facilitates opening in its unique way.,Improper opening of the bag could lead to inefficiencies or challenges in usage.
bottle,grasp,"if you grab the bottle ,at which points on the bottle handle will your palm touch ?",where should your palm make contact with the bottle handle in order to achieve a comfortable and secure grip?,Any tips on grasping the bottle efficiently?,Identify the key points on the bottle that ensure a successful grasping experience.,Describe your grasp method on the bottle.,Ideal grasp spot on bottle?,How would you approach grasping the bottle to maintain its condition?,Identify the key points on the bottle that ensure a successful grasping experience.,Best bottle grasp method?,What precautions would you take while grasping the bottle in different scenarios?,"Considering the structure of the bottle, what area would be most stable for grasping?",What makes the bottle easy or hard to grasp?,Any tips on grasping the bottle efficiently?,Best bottle grasp method?,Which part of the bottle allows for the most efficient grasping method?,"Where would you grasp the bottle, and what makes you choose that part?",Highlight the ideal place for grasping on the bottle and tell me why it's suitable.,"Which part of the bottle is crucial for grasping, and why is that the case?",The design of the bottle facilitates grasping in its unique way.,Improper grasping of the bottle could lead to inefficiencies or challenges in usage.
bottle,wrap_grasp,"if you wrap-grasp the bottle ,at which points on the bottle wall will your palm touch ?","when gripping the bottle directly without a handle, where should your palm make contact with the bottle wall to ensure a secure and comfortable hold?",Ideal wrap_grasp spot on bottle?,Which part of the bottle allows for the most efficient wrap_grasping method?,What makes the bottle easy or hard to wrap_grasp?,How would you approach wrap_grasping the bottle to maintain its condition?,Which part of the bottle allows for the most efficient wrap_grasping method?,Where to wrap_grasp bottle?,How would you approach wrap_grasping the bottle to maintain its condition?,Identify the key points on the bottle that ensure a successful wrap_grasping experience.,Point out the areas on the bottle ideal for wrap_grasping.,What makes the bottle easy or hard to wrap_grasp?,Ideal wrap_grasp spot on bottle?,Point out the areas on the bottle ideal for wrap_grasping.,Which part of the bottle allows for the most efficient wrap_grasping method?,"Where would you wrap_grasp the bottle, and what makes you choose that part?","Where would you wrap_grasp the bottle, and what makes you choose that part?","Which part of the bottle is crucial for wrap_grasping, and why is that the case?",The design of the bottle facilitates wrap_grasping in its unique way.,Improper wrap_grasping of the bottle could lead to inefficiencies or challenges in usage.
bottle,contain,"if you pour water into the bottle ,which points will the water first touch when it falls into the bottle?","as you pour water into the bottle, which areas inside the bottle will the water make contact with first?",How would you approach containing the bottle to maintain its condition?,Point out the areas on the bottle ideal for containing.,Where to contain bottle?,Your preferred contain point on bottle?,Identify the key points on the bottle that ensure a successful containing experience.,"If you want to ensure the bottle doesn't get damaged, what part would you contain?",Which part of the bottle allows for the most efficient containing method?,Identify the key points on the bottle that ensure a successful containing experience.,"Considering the structure of the bottle, what area would be most stable for containing?",Ideal contain spot on bottle?,Describe your contain method on the bottle.,Which part of the bottle allows for the most efficient containing method?,Describe your contain method on the bottle.,Highlight the ideal place for containing on the bottle and tell me why it's suitable.,"What's the best area on the bottle for containing, and what's the reasoning behind it?","Where would you contain the bottle, and what makes you choose that part?",The design of the bottle facilitates containing in its unique way.,Improper containing of the bottle could lead to inefficiencies or challenges in usage.
